ENA_Run	COG_ID
ERR5169160	CAMB-76427
ERR5169156	CAMB-76445
ERR5169170	CAMB-76454
ERR5169152	CAMB-76463
ERR5168995	CAMB-76472
ERR5169136	CAMB-76481
ERR5169124	CAMB-76490
ERR5169145	CAMB-764CD
ERR5168903	CAMB-764DC
ERR5169149	CAMB-764EB
ERR5169080	CAMB-764FA
ERR5169105	CAMB-76506
ERR5169148	CAMB-76515
ERR5169049	CAMB-76524
ERR5168982	CAMB-76533
ERR5169061	CAMB-76542
ERR5169128	CAMB-76551
ERR5169062	CAMB-76560
ERR5168978	CAMB-7657F
ERR5168911	CAMB-7658E
ERR5169171	CAMB-7659D
ERR5168896	CAMB-765AC
ERR5168888	CAMB-765BB
ERR5168855	CAMB-765CA
ERR5169134	CAMB-765E8
ERR5169068	CAMB-765F7
ERR5168944	CAMB-76603
ERR5169138	CAMB-76612
ERR5169046	CAMB-76621
ERR5168961	CAMB-76630
ERR5169053	CAMB-7664F
ERR5168940	CAMB-7666D
ERR5168957	CAMB-7667C
ERR5169054	CAMB-7668B
ERR5168969	CAMB-766B8
ERR5169164	CAMB-766C7
ERR5169141	CAMB-766D6
ERR5169103	CAMB-766E5
ERR5169133	CAMB-766F4
ERR5169098	CAMB-7672E
ERR5169127	CAMB-7673D
ERR5169094	CAMB-7674C
ERR5169123	CAMB-7675B
ERR5169090	CAMB-7676A
ERR5169120	CAMB-76779
ERR5169117	CAMB-76797
ERR5169084	CAMB-767A6
ERR5169113	CAMB-767B5
ERR5169081	CAMB-767C4
ERR5169111	CAMB-767D3
ERR5169077	CAMB-767E2
ERR5169107	CAMB-767F1
ERR5169073	CAMB-7680D
ERR5168956	CAMB-7681C
ERR5169071	CAMB-7682B
ERR5168875	CAMB-7683A
ERR5169067	CAMB-76849
ERR5168920	CAMB-76858
ERR5169065	CAMB-76867
ERR5168916	CAMB-76876
ERR5169060	CAMB-76885
ERR5168951	CAMB-76894
ERR5169057	CAMB-768A3
ERR5169011	CAMB-768B2
ERR5169052	CAMB-768C1
ERR5168878	CAMB-768D0
ERR5169048	CAMB-768EF
ERR5169006	CAMB-768FE
ERR5169044	CAMB-7690A
ERR5168947	CAMB-76919
ERR5169040	CAMB-76928
ERR5169017	CAMB-76937
ERR5168884	CAMB-76955
ERR5169034	CAMB-76964
ERR5168907	CAMB-76973
ERR5169032	CAMB-76982
ERR5168880	CAMB-76991
ERR5169027	CAMB-769A0
ERR5168913	CAMB-769BF
ERR5169022	CAMB-769CE
ERR5168939	CAMB-769DD
ERR5169018	CAMB-769EC
ERR5169014	CAMB-769FB
ERR5168891	CAMB-76A16
ERR5168858	CAMB-76A25
ERR5168887	CAMB-76A34
ERR5168972	CAMB-76A61
ERR5168943	CAMB-76A70
ERR5168987	CAMB-76A8F
ERR5169021	CAMB-76A9E
ERR5168854	CAMB-76AAD
ERR5168899	CAMB-76ABC
ERR5168977	CAMB-76ACB
ERR5169076	CAMB-76ADA
ERR5168981	CAMB-76AE9
ERR5169121	CAMB-76AF8
ERR5168985	CAMB-76B04
ERR5168910	CAMB-76B13
ERR5168975	CAMB-76B22
ERR5169029	CAMB-76B31
ERR5168863	CAMB-76B40
ERR5169093	CAMB-76B5F
ERR5168935	CAMB-76B6E
ERR5169087	CAMB-76B7D
ERR5168931	CAMB-76B8C
ERR5169086	CAMB-76B9B
ERR5169144	CAMB-76BB9
ERR5168998	CAMB-76BC8
ERR5168895	CAMB-76BD7
ERR5168991	CAMB-76BE6
ERR5169005	CAMB-76C01
ERR5168872	CAMB-76C2F
ERR5169155	CAMB-76C3E
ERR5168923	CAMB-76C4D
ERR5169131	CAMB-76C5C
ERR5168960	CAMB-76C6B
ERR5169101	CAMB-76C7A
ERR5168927	CAMB-76C89
ERR5169072	CAMB-76C98
ERR5168865	CAMB-76CA7
ERR5169096	CAMB-76CB6
ERR5168869	CAMB-76CC5
ERR5168902	CAMB-76CD4
ERR5168963	CAMB-76CE3
ERR5169025	CAMB-76CF2
ERR5168999	CAMB-76D0E
ERR5169035	CAMB-76D2C
ERR5169033	CAMB-76D4A
ERR5169028	CAMB-76D68
ERR5169023	CAMB-76D86
ERR5169019	CAMB-76DA4
ERR5169015	CAMB-76DC2
ERR5169003	CAMB-76DE0
ERR5168988	CAMB-76E0B
ERR5168976	CAMB-76E29
ERR5168948	CAMB-76E65
ERR5168932	CAMB-76E83
ERR5168917	CAMB-76EA1
ERR5168904	CAMB-76ECF
ERR5168892	CAMB-76EED
ERR5168866	CAMB-76F26
ERR5169078	CAMB-770D7
ERR5168752	CAMB-770E6
ERR5169074	CAMB-770F5
ERR5168782	CAMB-77101
ERR5169069	CAMB-77110
ERR5168636	CAMB-7712F
ERR5168603	CAMB-7714D
ERR5169063	CAMB-7715C
ERR5168565	CAMB-7716B
ERR5169058	CAMB-7717A
ERR5168727	CAMB-77189
ERR5169055	CAMB-77198
ERR5168741	CAMB-771A7
ERR5169050	CAMB-771B6
ERR5168766	CAMB-771C5
ERR5168772	CAMB-771E3
ERR5169045	CAMB-771F2
ERR5168793	CAMB-7720E
ERR5169041	CAMB-7721D
ERR5168599	CAMB-7724A
ERR5168606	CAMB-77259
ERR5168806	CAMB-77268
ERR5168620	CAMB-77277
ERR5168825	CAMB-77286
ERR5168623	CAMB-77295
ERR5168840	CAMB-772A4
ERR5168649	CAMB-772B3
ERR5168669	CAMB-772C2
ERR5168653	CAMB-772D1
ERR5168652	CAMB-772E0
ERR5168678	CAMB-772FF
ERR5168564	CAMB-7730B
ERR5168679	CAMB-7731A
ERR5168562	CAMB-77329
ERR5168696	CAMB-77338
ERR5168579	CAMB-77347
ERR5168596	CAMB-77365
ERR5168717	CAMB-77374
ERR5168608	CAMB-77383
ERR5168683	CAMB-77392
ERR5168634	CAMB-773A1
ERR5168668	CAMB-773B0
ERR5168639	CAMB-773CF
ERR5168643	CAMB-773DE
ERR5168664	CAMB-773ED
ERR5169180	CAMB-77417
ERR5168691	CAMB-77426
ERR5168704	CAMB-77444
ERR5169174	CAMB-77453
ERR5168706	CAMB-77462
ERR5168724	CAMB-77480
ERR5169166	CAMB-7749F
ERR5168567	CAMB-774AE
ERR5169161	CAMB-774BD
ERR5168583	CAMB-774CC
ERR5169157	CAMB-774DB
ERR5169153	CAMB-774F9
ERR5168613	CAMB-77505
ERR5168630	CAMB-77523
ERR5169146	CAMB-77532
ERR5168641	CAMB-77541
ERR5169142	CAMB-77550
ERR5168660	CAMB-7756F
ERR5169139	CAMB-7757E
ERR5168672	CAMB-7758D
ERR5168687	CAMB-775AB
ERR5169132	CAMB-775BA
ERR5169129	CAMB-775D8
ERR5168709	CAMB-775E7
ERR5169125	CAMB-775F6
ERR5168723	CAMB-77602
ERR5168570	CAMB-77620
ERR5169119	CAMB-7763F
ERR5168588	CAMB-7764E
ERR5169118	CAMB-7765D
ERR5168602	CAMB-7766C
ERR5169114	CAMB-7767B
ERR5168616	CAMB-7768A
ERR5168626	CAMB-776A8
ERR5169108	CAMB-776B7
ERR5168646	CAMB-776C6
ERR5169104	CAMB-776D5
ERR5168656	CAMB-776E4
ERR5169100	CAMB-776F3
ERR5168684	CAMB-7772D
ERR5168699	CAMB-7774B
ERR5169091	CAMB-7775A
ERR5168712	CAMB-77769
ERR5169088	CAMB-77778
ERR5169085	CAMB-77796
ERR5168574	CAMB-777A5
ERR5168591	CAMB-777C3
ERR5168834	CAMB-777D2
ERR5168682	CAMB-777E1
ERR5168851	CAMB-777F0
ERR5168661	CAMB-7780C
ERR5168690	CAMB-7781B
ERR5168637	CAMB-7782A
ERR5168665	CAMB-77839
ERR5168607	CAMB-77848
ERR5168572	CAMB-77866
ERR5168593	CAMB-77875
ERR5168576	CAMB-77893
ERR5168744	CAMB-778A2
ERR5168732	CAMB-778B1
ERR5168764	CAMB-778C0
ERR5168747	CAMB-778DF
ERR5168776	CAMB-778EE
ERR5168758	CAMB-778FD
ERR5168794	CAMB-77909
ERR5168779	CAMB-77918
ERR5168809	CAMB-77927
ERR5168800	CAMB-77936
ERR5168811	CAMB-77954
ERR5168842	CAMB-77963
ERR5168830	CAMB-77972
ERR5168676	CAMB-77981
ERR5168844	CAMB-77990
ERR5168657	CAMB-779AF
ERR5168803	CAMB-779BE
ERR5168819	CAMB-779CD
ERR5168755	CAMB-779DC
ERR5168784	CAMB-779EB
ERR5168761	CAMB-77A15
ERR5168397	CAMB-77A24
ERR5168769	CAMB-77A33
ERR5168381	CAMB-77A42
ERR5168790	CAMB-77A51
ERR5168368	CAMB-77A60
ERR5168797	CAMB-77A7F
ERR5168356	CAMB-77A8E
ERR5168814	CAMB-77A9D
ERR5168344	CAMB-77AAC
ERR5168837	CAMB-77ABB
ERR5168334	CAMB-77ACA
ERR5168850	CAMB-77AD9
ERR5168319	CAMB-77AE8
ERR5168675	CAMB-77AF7
ERR5168651	CAMB-77B03
ERR5168644	CAMB-77B12
ERR5168619	CAMB-77B21
ERR5168612	CAMB-77B30
ERR5168585	CAMB-77B4F
ERR5168584	CAMB-77B5E
ERR5168577	CAMB-77B6D
ERR5168738	CAMB-77B7C
ERR5168739	CAMB-77B8B
ERR5168403	CAMB-77B9A
ERR5168400	CAMB-77BA9
ERR5168314	CAMB-77BB8
ERR5168389	CAMB-77BB8
ERR5168385	CAMB-77BC7
ERR5168373	CAMB-77BD6
ERR5168370	CAMB-77BE5
ERR5168359	CAMB-77C00
ERR5168349	CAMB-77C1F
ERR5168346	CAMB-77C2E
ERR5168338	CAMB-77C3D
ERR5168336	CAMB-77C4C
ERR5168328	CAMB-77C5B
ERR5168324	CAMB-77C6A
ERR5168469	CAMB-77C79
ERR5168466	CAMB-77C88
ERR5168455	CAMB-77C97
ERR5168451	CAMB-77CA6
ERR5168440	CAMB-77CB5
ERR5168436	CAMB-77CC4
ERR5168427	CAMB-77CD3
ERR5168425	CAMB-77CE2
ERR5168415	CAMB-77CF1
ERR5168410	CAMB-77D0D
ERR5168393	CAMB-77D1C
ERR5168384	CAMB-77D2B
ERR5169315	CAMB-77D3A
ERR5168377	CAMB-77D58
ERR5168479	CAMB-77D67
ERR5168364	CAMB-77D76
ERR5168476	CAMB-77D85
ERR5168473	CAMB-77DA3
ERR5168340	CAMB-77DB2
ERR5168463	CAMB-77DC1
ERR5168332	CAMB-77DD0
ERR5168447	CAMB-77DEF
ERR5168434	CAMB-77E0A
ERR5168458	CAMB-77E19
ERR5168423	CAMB-77E28
ERR5168444	CAMB-77E37
ERR5168360	CAMB-77E46
ERR5168407	CAMB-77E64
ERR5168419	CAMB-77E73
ERR5169202	CAMB-77E82
ERR5169362	CAMB-77E91
ERR5168810	CAMB-77EA0
ERR5169349	CAMB-77EBF
ERR5169366	CAMB-77ECE
ERR5169322	CAMB-77EDD
ERR5169355	CAMB-77EEC
ERR5168498	CAMB-77EFB
ERR5169385	CAMB-77F07
ERR5168497	CAMB-77F16
ERR5169283	CAMB-77F25
ERR5168494	CAMB-77F34
ERR5169281	CAMB-77F43
ERR5168485	CAMB-77F52
ERR5169261	CAMB-77F61
ERR5168472	CAMB-77F70
ERR5169253	CAMB-77F8F
ERR5168491	CAMB-77F9E
ERR5169219	CAMB-77FAD
ERR5168488	CAMB-77FBC
ERR5169208	CAMB-77FCB
ERR5168484	CAMB-77FDA
ERR5168412	CAMB-77FE9
ERR5168446	CAMB-77FF8
ERR5169378	CAMB-78003
ERR5168839	CAMB-78012
ERR5169339	CAMB-78030
ERR5168813	CAMB-7804F
ERR5168808	CAMB-7806D
ERR5168846	CAMB-7809A
ERR5168805	CAMB-780A9
ERR5168849	CAMB-780B8
ERR5169255	CAMB-780D6
ERR5168316	CAMB-780E5
ERR5168821	CAMB-780E5
ERR5168317	CAMB-78100
ERR5168824	CAMB-78100
ERR5168853	CAMB-7811F
ERR5168827	CAMB-7812E
ERR5169200	CAMB-7813D
ERR5168829	CAMB-7814C
ERR5169194	CAMB-7815B
ERR5168833	CAMB-7816A
ERR5169191	CAMB-78179
ERR5168836	CAMB-78188
ERR5169249	CAMB-78AD8
ERR5169221	CAMB-78AF6
ERR5169447	CAMB-78B02
ERR5169212	CAMB-78B11
ERR5169421	CAMB-78B20
ERR5169187	CAMB-78B3F
ERR5169405	CAMB-78B4E
ERR5169372	CAMB-78B5D
ERR5168353	CAMB-78B8A
ERR5169357	CAMB-78B99
ERR5168380	CAMB-78BA8
ERR5169332	CAMB-78BB7
ERR5169321	CAMB-78BD5
ERR5169308	CAMB-78BF3
ERR5169299	CAMB-78C0F
ERR5169297	CAMB-78C1E
ERR5169289	CAMB-78C2D
ERR5169269	CAMB-78C4B
ERR5169263	CAMB-78C5A
ERR5169246	CAMB-78C69
ERR5169237	CAMB-78C78
ERR5169242	CAMB-78C87
ERR5169235	CAMB-78C96
ERR5169229	CAMB-78CA5
ERR5169227	CAMB-78CB4
ERR5169184	CAMB-78CC3
ERR5169335	CAMB-78CE1
ERR5169346	CAMB-78CF0
ERR5168542	CAMB-78D0C
ERR5169340	CAMB-78D1B
ERR5168530	CAMB-78D2A
ERR5169328	CAMB-78D39
ERR5168519	CAMB-78D48
ERR5169304	CAMB-78D75
ERR5168495	CAMB-78D84
ERR5169291	CAMB-78D93
ERR5168452	CAMB-78DA2
ERR5169273	CAMB-78DB1
ERR5168432	CAMB-78DC0
ERR5168394	CAMB-78DDF
ERR5168386	CAMB-78DEE
ERR5168361	CAMB-78DFD
ERR5168382	CAMB-78E09
ERR5168354	CAMB-78E27
ERR5168320	CAMB-78E36
ERR5168335	CAMB-78E45
ERR5168559	CAMB-78E54
ERR5168552	CAMB-78E72
ERR5168540	CAMB-78E90
ERR5168528	CAMB-78EAF
ERR5168504	CAMB-78EEB
ERR5168459	CAMB-78F24
ERR5168441	CAMB-78F33
ERR5168417	CAMB-78F42
ERR5168453	CAMB-78F60
ERR5168399	CAMB-78F7F
ERR5168372	CAMB-78F9D
ERR5168396	CAMB-78FAC
ERR5168323	CAMB-78FD9
ERR5168549	CAMB-78FF7
ERR5168342	CAMB-79002
ERR5168537	CAMB-79011
ERR5168367	CAMB-79020
ERR5168523	CAMB-7903F
ERR5168391	CAMB-7904E
ERR5168321	CAMB-7905D
ERR5168420	CAMB-7906C
ERR5168511	CAMB-7907B
ERR5168461	CAMB-7908A
ERR5168499	CAMB-79099
ERR5168475	CAMB-790B7
ERR5169485	CAMB-790C6
ERR5168430	CAMB-790D5
ERR5168379	CAMB-790E4
ERR5168402	CAMB-790F3
ERR5168375	CAMB-7911E
ERR5168331	CAMB-7912D
ERR5168348	CAMB-7913C
ERR5168327	CAMB-7915A
ERR5168551	CAMB-79178
ERR5168539	CAMB-79196
ERR5168541	CAMB-791A5
ERR5168525	CAMB-791B4
ERR5168527	CAMB-791C3
ERR5168512	CAMB-791D2
